Lead_Leg_GRF_mag_max_1_1,Lead_Leg_GRF_max_2_1,Lead_Leg_GRF_min_3_1,Lead_Leg_GRF_mag_Midpoint_FS_Release_4_1,Lead_Leg_GRF@Midpoint_FS_Release_5_1,Lead_Leg_GRF@Midpoint_FS_Release_6_1,Lead_Leg_GRF_Mag@Max_Shoulder_Rot_7_1,Lead_Leg_GRF@Max_Shoulder_Rot_8_1,Lead_Leg_GRF@Max_Shoulder_Rot_9_1,Trunk_COG@Footstrike_10_1,Trunk_COG@Release_11_1,Trunk_COG_Translation_12_1,Trunk_COG@Footstrike_13_1,Trunk_COG@Release_14_1,Trunk_COG_Translation_15_1,HEIGHT_16_1,MASS_17_1
0.2411,0.2019,-0.0392,1.3516,1.711,0.3594,1.778,86.1821,1.778,86.1821,1925.0372,1722.7146,-995.6956,1660.7428,1346.8961,-969.1476,1808.3683
1592.8689,-856.1074,0.321,0.2872,-0.0338,1.3733,1.7522,0.379,1.778,86.1821,1872.0297,1653.3003,-885.5333,1805.9905,1579.2112,-872.8849,1736.7775
1525.249,-830.6638,0.2522,0.2294,-0.0229,1.343,1.6984,0.3554,1.778,86.1821,1845.986,1619.0291,-892.5287,1792.2922,1563.2826,-876.5933,1771.6309
1557.189,-842.6097,0.2842,0.2465,-0.0378,1.4057,1.7371,0.3314,1.778,86.1821,1862.4972,1623.4175,-912.9167,1595.0537,1353.0181,-842.603,1854.271
1619.2731,-903.3031,0.2688,0.229,-0.0399,1.3517,1.7401,0.3884,1.778,86.1821,1982.7794,1751.1162,-932.001,1696.078,1465.1112,-854.1201,1866.4269
1634.3276,-900.1095,0.2411,0.2019,-0.0392,1.3516,1.711,0.3594,1.778,86.1821,1.778,86.1821,2088.2607,1913.0856,-835.2231,1902.7319,1736.7628
-753.6854,2047.4987,1866.7955,-829.1488,0.4041,0.4453,0.0412,1.3881,1.6629,0.2748,1.905,90.718,2183.8042,2013.0156,-879.588,1999.2635,1833.0325
-773.0367,2154.0417,1971.7206,-856.9049,0.4399,0.4833,0.0435,1.377,1.6201,0.2432,1.905,90.718,2117.8535,1940.8298,-906.3591,1946.1067,1777.0066
-756.733,2069.9255,1890.9999,-823.1199,0.4156,0.4485,0.0329,1.3783,1.6347,0.2564,1.905,90.718,2137.8193,1960.7592,-854.7811,1875.9641,1715.3696
-733.648,2125.3577,1944.9397,-838.5884,0.3955,0.4422,0.0467,1.3278,1.5962,0.2684,1.905,90.718,1.905,90.718,2088.2607,1913.0856,-835.2231
1902.7319,1736.7628,-753.6854,2047.4987,1866.7955,-829.1488,0.4041,0.4453,0.0412,1.3881,1.6629,0.2748,1.905,90.718,2183.8042,2013.0156,-879.588
